Jabatan,Kode Unit,Judul Unit,Elemen Kompetensi,KUK
Manajemen SDM,M.70SDM01.023.2,Menyusun Sistem Remunerasi ,Menentukan komponen upah dan non upah ,komponen upah non upah diidentifikasi sesuai kebutuhan organisasi
Manajemen SDM,M.70SDM01.023.2,Menyusun Sistem Remunerasi ,Menentukan komponen upah dan non upah ,hasil identifikasi ditetapkan mempertimbangkan strategi perundangan.
Manajemen SDM,M.70SDM01.023.2,Menyusun Sistem Remunerasi ,Menyusun struktur dan skala upah ,informasi internaleksternal dianalisis sesuai sistem remunerasi
Manajemen SDM,M.70SDM01.023.2,Menyusun Sistem Remunerasi ,Menyusun struktur dan skala upah ,struktur skala upah disusun berdasarkan grading.
Manajemen SDM,M.70SDM01.029.2,Mengelola Proses Penilaian Kinerja Individu ,Menyiapkan pelaksanaan penilaian kinerja individu ,panduan perangkat penilaian disampaikan penilai
Manajemen SDM,M.70SDM01.029.2,Mengelola Proses Penilaian Kinerja Individu ,Menyiapkan pelaksanaan penilaian kinerja individu ,pelaksanaan dipantau sesuai panduan.
Manajemen SDM,M.70SDM01.029.2,Mengelola Proses Penilaian Kinerja Individu ,Melakukan kompilasi hasil penilaian kinerja individu ,hasil penilaian dikumpulkan dikompilasi sesuai prosedur
Manajemen SDM,M.70SDM01.029.2,Mengelola Proses Penilaian Kinerja Individu ,Melakukan kompilasi hasil penilaian kinerja individu ,hasil kompilasi dianalisis sesuai kebutuhan organisasi.
Manajemen SDM,M.70SDM01.035.2,Merancang Model dan Kamus Kompetensi ,Menetapkan model kompetensi organisasi ,"data visi, misi, strategi dianalisis penyusunan model"
Manajemen SDM,M.70SDM01.035.2,Merancang Model dan Kamus Kompetensi ,Menetapkan model kompetensi organisasi ,model kompetensi disusun sesuai kebutuhan organisasi.
Manajemen SDM,M.70SDM01.037.2,Menyusun Kelompok Pekerja Bertalenta (Talent Pool) ,Menetapkan profil posisi jabatan kunci ,posisi jabatan kunci ditetapkan berdasarkan kriteria
Manajemen SDM,M.70SDM01.037.2,Menyusun Kelompok Pekerja Bertalenta (Talent Pool) ,Menetapkan profil posisi jabatan kunci ,standar kompetensi jabatan kunci ditetapkan sesuai kebutuhan.
Manajemen SDM,M.70SDM01.037.2,Menyusun Kelompok Pekerja Bertalenta (Talent Pool) ,Mengusulkan kandidat pekerja bertalenta ,data kompetensi potensi dikumpulkan
Manajemen SDM,M.70SDM01.037.2,Menyusun Kelompok Pekerja Bertalenta (Talent Pool) ,Mengusulkan kandidat pekerja bertalenta ,profil kandidat dianalisis kesesuaiannya
Manajemen SDM,M.70SDM01.037.2,Menyusun Kelompok Pekerja Bertalenta (Talent Pool) ,Mengusulkan kandidat pekerja bertalenta ,daftar nominasi disampaikan pimpinan.
Manajemen SDM,M.70SDM01.059.2,Melakukan Administrasi Penerapan Kebijakan MSDM ,Mengkompilasi ketentuan administrasi penerapan kebijakan MSDM ,ketentuan prosedur kerja diidentifikasi
Manajemen SDM,M.70SDM01.059.2,Melakukan Administrasi Penerapan Kebijakan MSDM ,Mengkompilasi ketentuan administrasi penerapan kebijakan MSDM ,prosedur kerja bagan alur proses dikompilasi.
Manajemen SDM,M.70SDM01.059.2,Melakukan Administrasi Penerapan Kebijakan MSDM ,Melaksanakan administrasi kebijakan MSDM ,administrasi dilaksanakan akurat tepat waktu
Manajemen SDM,M.70SDM01.059.2,Melakukan Administrasi Penerapan Kebijakan MSDM ,Melaksanakan administrasi kebijakan MSDM ,administrasi didokumentasikan sesuai prosedur.
Manajemen SDM,M.70SDM01.017.2,Melakukan Proses Rekrutmen ,Menyiapkan program rekrutmen ,kebutuhan pelaksanaan rekrutmen disiapkan sesuai sop
Manajemen SDM,M.70SDM01.017.2,Melakukan Proses Rekrutmen ,Menyiapkan program rekrutmen ,program ditawarkan sumber pemenuhan sdm sesuai sop.
Manajemen SDM,M.70SDM01.017.2,Melakukan Proses Rekrutmen ,Melaksanakan program rekrutmen ,data aplikasi dikompilasi dikaji sesuai sop
Manajemen SDM,M.70SDM01.017.2,Melakukan Proses Rekrutmen ,Melaksanakan program rekrutmen ,hasil kajian digunakan proses seleksi sesuai sop.
Manajemen SDM,M.70SDM01.023.2,Menyusun Sistem Remunerasi ,Menentukan komponen upah dan non upah ,komponen upah non upah diidentifikasi sesuai kebutuhan organisasi
Manajemen SDM,M.70SDM01.023.2,Menyusun Sistem Remunerasi ,Menentukan komponen upah dan non upah ,hasil identifikasi ditetapkan mempertimbangkan strategi perundangan.
Manajemen SDM,M.70SDM01.023.2,Menyusun Sistem Remunerasi ,Menyusun struktur dan skala upah ,informasi internaleksternal dianalisis sesuai sistem remunerasi
Manajemen SDM,M.70SDM01.023.2,Menyusun Sistem Remunerasi ,Menyusun struktur dan skala upah ,struktur skala upah disusun berdasarkan grading.
Manajemen SDM,M.70SDM01.029.2,Mengelola Proses Penilaian Kinerja Individu ,Menyiapkan pelaksanaan penilaian kinerja individu ,panduan perangkat penilaian disampaikan penilai
Manajemen SDM,M.70SDM01.029.2,Mengelola Proses Penilaian Kinerja Individu ,Menyiapkan pelaksanaan penilaian kinerja individu ,pelaksanaan dipantau sesuai panduan.
Manajemen SDM,M.70SDM01.029.2,Mengelola Proses Penilaian Kinerja Individu ,Melakukan kompilasi hasil penilaian kinerja individu ,hasil penilaian dikumpulkan dikompilasi sesuai prosedur
Manajemen SDM,M.70SDM01.029.2,Mengelola Proses Penilaian Kinerja Individu ,Melakukan kompilasi hasil penilaian kinerja individu ,hasil kompilasi dianalisis sesuai kebutuhan organisasi.
Manajemen SDM,M.70SDM01.035.2,Merancang Model dan Kamus Kompetensi ,Menetapkan model kompetensi organisasi ,"data visi, misi, strategi dianalisis penyusunan model"
Manajemen SDM,M.70SDM01.035.2,Merancang Model dan Kamus Kompetensi ,Menetapkan model kompetensi organisasi ,model kompetensi disusun sesuai kebutuhan organisasi.
Manajemen SDM,M.70SDM01.037.2,Menyusun Kelompok Pekerja Bertalenta (Talent Pool) ,Menetapkan profil posisi jabatan kunci ,posisi jabatan kunci ditetapkan berdasarkan kriteria
Manajemen SDM,M.70SDM01.037.2,Menyusun Kelompok Pekerja Bertalenta (Talent Pool) ,Menetapkan profil posisi jabatan kunci ,standar kompetensi jabatan kunci ditetapkan sesuai kebutuhan.
Manajemen SDM,M.70SDM01.037.2,Menyusun Kelompok Pekerja Bertalenta (Talent Pool) ,Mengusulkan kandidat pekerja bertalenta ,data kompetensi potensi dikumpulkan
Manajemen SDM,M.70SDM01.037.2,Menyusun Kelompok Pekerja Bertalenta (Talent Pool) ,Mengusulkan kandidat pekerja bertalenta ,profil kandidat dianalisis kesesuaiannya
Manajemen SDM,M.70SDM01.037.2,Menyusun Kelompok Pekerja Bertalenta (Talent Pool) ,Mengusulkan kandidat pekerja bertalenta ,daftar nominasi disampaikan pimpinan.
Manajemen SDM,M.70SDM01.059.2,Melakukan Administrasi Penerapan Kebijakan MSDM ,Mengkompilasi ketentuan administrasi penerapan kebijakan MSDM ,ketentuan prosedur kerja diidentifikasi
Manajemen SDM,M.70SDM01.059.2,Melakukan Administrasi Penerapan Kebijakan MSDM ,Mengkompilasi ketentuan administrasi penerapan kebijakan MSDM ,prosedur kerja bagan alur proses dikompilasi.
Manajemen SDM,M.70SDM01.059.2,Melakukan Administrasi Penerapan Kebijakan MSDM ,Melaksanakan administrasi kebijakan MSDM ,administrasi dilaksanakan akurat tepat waktu
Manajemen SDM,M.70SDM01.059.2,Melakukan Administrasi Penerapan Kebijakan MSDM ,Melaksanakan administrasi kebijakan MSDM ,administrasi didokumentasikan sesuai prosedur.
Mekanik,M.74MAB02.003.1,Melakukan Warming Up atas Unit Alat Berat,Menyiapkan pelaksanaan warming up,model spesifikasi diidentifikasi
Mekanik,M.74MAB02.003.1,Melakukan Warming Up atas Unit Alat Berat,Menyiapkan pelaksanaan warming up,parts komponen diidentifikasi
Mekanik,M.74MAB02.003.1,Melakukan Warming Up atas Unit Alat Berat,Menyiapkan pelaksanaan warming up,"lever, pedal, panel kontrol diidentifikasi"
Mekanik,M.74MAB02.003.1,Melakukan Warming Up atas Unit Alat Berat,Menyiapkan pelaksanaan warming up,istilah teknik diidentifikasi
Mekanik,M.74MAB02.003.1,Melakukan Warming Up atas Unit Alat Berat,Menyiapkan pelaksanaan warming up,prosedur warming up diidentifikasi
Mekanik,M.74MAB02.003.1,Melakukan Warming Up atas Unit Alat Berat,Menyiapkan pelaksanaan warming up,omm operation and maintenance manual diidentifikasi.
Mekanik,M.74MAB02.008.1,Melakukan Periodic Maintenance Clinic (PMC) Dump Truck,Menyiapkan pelaksanaan PMC Dump Truck,model spesifikasi unit diidentifikasi
Mekanik,M.74MAB02.008.1,Melakukan Periodic Maintenance Clinic (PMC) Dump Truck,Menyiapkan pelaksanaan PMC Dump Truck,parts komponen utama diidentifikasi
Mekanik,M.74MAB02.008.1,Melakukan Periodic Maintenance Clinic (PMC) Dump Truck,Menyiapkan pelaksanaan PMC Dump Truck,"prosedur pemeriksaan sensor, lan, actuator sistem elektronik diidentifikasi"
Mekanik,M.74MAB02.008.1,Melakukan Periodic Maintenance Clinic (PMC) Dump Truck,Menyiapkan pelaksanaan PMC Dump Truck,prosedur pemeriksaan fungsi panel monitor switch diidentifikasi.
Mekanik,M.74MAB02.009.1,Melakukan PMC pada Wheel Loader,Mengukur performance Hydraulic System,pengukuran work equipment speed dilakukan sesuai manual
Mekanik,M.74MAB02.009.1,Melakukan PMC pada Wheel Loader,Mengukur performance Hydraulic System,pengukuran hydraulic oil pressure dilakukan sesuai manual
Mekanik,M.74MAB02.009.1,Melakukan PMC pada Wheel Loader,Mengukur performance Hydraulic System,pengukuran hydraulic drift dilakukan sesuai prosedur
Mekanik,M.74MAB02.009.1,Melakukan PMC pada Wheel Loader,Mengukur performance Hydraulic System,hasil pengukuran dibuat kesimpulan.
Mekanik,M.74MAB02.022.1,Melakukan Penggantian Unit Axle,Menyiapkan penggantian Axle,model spesifikasi alat berat diidentifikasi
Mekanik,M.74MAB02.022.1,Melakukan Penggantian Unit Axle,Menyiapkan penggantian Axle,model spesifikasi axle diidentifikasi
Mekanik,M.74MAB02.022.1,Melakukan Penggantian Unit Axle,Menyiapkan penggantian Axle,peralatan angkat bantu dipastikan ketersediaannya.
Mekanik,M.74MAB02.036.1,Melakukan Overhaul Suspension Dump Truck,Mengembalikan kondisi performance Suspension,kelengkapan tools spare parts dipastikan
Mekanik,M.74MAB02.036.1,Melakukan Overhaul Suspension Dump Truck,Mengembalikan kondisi performance Suspension,suspension assembly dilakukan berdasarkan service manual
Mekanik,M.74MAB02.036.1,Melakukan Overhaul Suspension Dump Truck,Mengembalikan kondisi performance Suspension,pengujian performance dilakukan
Mekanik,M.74MAB02.036.1,Melakukan Overhaul Suspension Dump Truck,Mengembalikan kondisi performance Suspension,rekomendasi tindak lanjut disusun
Mekanik,M.74MAB02.036.1,Melakukan Overhaul Suspension Dump Truck,Mengembalikan kondisi performance Suspension,coating wrapping dilakukan.
Mekanik,M.74MAB02.011.1,Melakukan PMC pada Soil Stabilizer,Menyiapkan pelaksanaan PMC Soil Stabilizer,prosedur penggunaan refractometer liquid checker diidentifikasi
Mekanik,M.74MAB02.011.1,Melakukan PMC pada Soil Stabilizer,Menyiapkan pelaksanaan PMC Soil Stabilizer,prosedur pemeriksaan baterai level electrolyte diidentifikasi
Mekanik,M.74MAB02.011.1,Melakukan PMC pada Soil Stabilizer,Menyiapkan pelaksanaan PMC Soil Stabilizer,diagnostic tools soil stabilizer diidentifikasi
Mekanik,M.74MAB02.011.1,Melakukan PMC pada Soil Stabilizer,Menyiapkan pelaksanaan PMC Soil Stabilizer,prosedur pengukuran tekanan oli hydraulic drive system diidentifikasi .
Mekanik,M.74MAB02.011.1,Melakukan PMC pada Soil Stabilizer,Memastikan performance Engine,pengukuran engine speed dilakukan sesuai service manual
Mekanik,M.74MAB02.011.1,Melakukan PMC pada Soil Stabilizer,Memastikan performance Engine,pengukuran engine oil pressure dilakukan sesuai prosedur
Mekanik,M.74MAB02.011.1,Melakukan PMC pada Soil Stabilizer,Memastikan performance Engine,pengukuran engine blow by pressure dilakukan sesuai manual
Mekanik,M.74MAB02.011.1,Melakukan PMC pada Soil Stabilizer,Memastikan performance Engine,hasil pengukuran dibuat kesimpulan .
Mekanik,M.74MAB02.012.1,Melakukan PMC pada Mobile Crane,Memastikan kondisi Tyre dan Rim,pemeriksaan keausan tyre dilakukan sesuai prosedur
Mekanik,M.74MAB02.012.1,Melakukan PMC pada Mobile Crane,Memastikan kondisi Tyre dan Rim,pemeriksaan rim tyre visual dilakukan
Mekanik,M.74MAB02.012.1,Melakukan PMC pada Mobile Crane,Memastikan kondisi Tyre dan Rim,pemeriksaan wheel alignment dilakukan
Mekanik,M.74MAB02.012.1,Melakukan PMC pada Mobile Crane,Memastikan kondisi Tyre dan Rim,hasil pemeriksaan dicatat maintenance historical record .
Mekanik,M.74MAB02.013.1,Melakukan PMC pada Forklift,Memastikan level dan spesifikasi oli,komponen forklift memerlukan pelumasan diidentifikasi berdasarkan operation and maintenance manual omm sesuai prosedur.
Mekanik,M.74MAB02.015.1,Melakukan PMC pada Traktor Pertanian,Menyiapkan pelaksanaan PMC Traktor,kondisi normal fisik hose diidentifikasi
Mekanik,M.74MAB02.015.1,Melakukan PMC pada Traktor Pertanian,Menyiapkan pelaksanaan PMC Traktor,prosedur pemeriksaan abnormality hose diidentifikasi
Mekanik,M.74MAB02.015.1,Melakukan PMC pada Traktor Pertanian,Menyiapkan pelaksanaan PMC Traktor,kondisi greasing points diidentifikasi
Mekanik,M.74MAB02.015.1,Melakukan PMC pada Traktor Pertanian,Menyiapkan pelaksanaan PMC Traktor,prosedur pemeriksaan tekanan udara tyre diidentifikasi .
Mekanik,M.74MAB02.018.1,Melakukan Overhaul Engine,Melakukan bongkar pasang (dis-assy/assy) Engine,pemeriksaan komponen electric engine dilakukan
Mekanik,M.74MAB02.018.1,Melakukan Overhaul Engine,Melakukan bongkar pasang (dis-assy/assy) Engine,pemeriksaan sensor pressure oli engine dilakukan
Mekanik,M.74MAB02.018.1,Melakukan Overhaul Engine,Melakukan bongkar pasang (dis-assy/assy) Engine,pemeriksaan sensor speed engine dilakukan
Mekanik,M.74MAB02.018.1,Melakukan Overhaul Engine,Melakukan bongkar pasang (dis-assy/assy) Engine,pengukuran pressure oli engine dilakukan sesuai service manual .
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Memeriksa dokumen sumber dan pendukung,dokumen sumber pendukung diidentifikasi
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Memeriksa dokumen sumber dan pendukung,dokumen sumber pendukung diperiksa.
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Mencatat dokumen sumber ke dalam jurnal,dokumen sumber dicatat dalam jurnal akurat sesuai standar berlaku
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Mencatat dokumen sumber ke dalam jurnal,transaksi tepat dialokasikan dalam akun
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Mencatat dokumen sumber ke dalam jurnal,pencatatan jurnal diverifikasi diotorisasi sesuai kebijakan prosedur perusahaan.
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Mengarsipkan dokumen sumber dan pendukung,dokumen sumber pendukung disimpan sesuai kebijakan prosedur perusahaan
Teknisi Akuntansi,M.69PTA00.001.3,Memproses Entri Jurnal,Mengarsipkan dokumen sumber dan pendukung,arsip dokumen diakses ditelusuri sesuai kebijakan prosedur perusahaan.
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Mempersiapkan verifikasi atau rekonsiliasi atas pengelolaan akun,"peralatan, perlengkapan format kertas kerja disediakan sesuai karakteristik kebutuhan perusahaan"
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Mempersiapkan verifikasi atau rekonsiliasi atas pengelolaan akun,pengelolaan akun laporan keuangan diidentifikasi
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Mempersiapkan verifikasi atau rekonsiliasi atas pengelolaan akun,data transaksi penggunaan akun terpilih disediakan.
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan pembukuan mutasi akun,"saldo awal akun, data mutasi akun saldo akhir akun diidentifikasi"
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan pembukuan mutasi akun,data mutasi akun diverifikasi sesuai ketentuan
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan pembukuan mutasi akun,data mutasi akun dibukukan sesuai ketentuan
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan pembukuan mutasi akun,saldo akhir akun diverifikasi sesuai ketentuan.
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan verifikasi atau rekonsiliasi data akun,kegiatan verifikasi rekonsiliasi data akun dilaksanakan
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan verifikasi atau rekonsiliasi data akun,selisih data buku data hasil verifikasi rekonsiliasi diidentifikasi
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan verifikasi atau rekonsiliasi data akun,laporanberita acara verifikasi rekonsiliasi data akun dibuat sesuai kebijakan prosedur perusahaan
Teknisi Akuntansi,M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan verifikasi atau rekonsiliasi data akun,laporanberita acara verifikasi rekonsiliasi data akun dianalisis sesuai ketentuan.
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Mempersiapkan pengelolaan buku besar,"peralatan, perlengkapan format kertas kerja dibutuhkan pengelolaan buku besar disediakan"
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Mempersiapkan pengelolaan buku besar,dokumen sumber rekapitulasi jurnal diidentifikasi.
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Membukukan jumlah angka dari jurnal ke buku besar,akunakun buku besar diidentifikasi
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Membukukan jumlah angka dari jurnal ke buku besar,jumlah ada rekapitulasi jurnal dibukukan sesuai ketentuan.
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Menyusun daftar saldo akun dalam buku besar,daftar saldo akun buku besar disajikan sesuai ketentuan
Teknisi Akuntansi,M.69PTA00.003.3,Memproses Buku Besar,Menyusun daftar saldo akun dalam buku besar,saldo akun buku besar dipastikan kebenarannya.
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Mencatat jurnal penyesuaian,dokumen sumber penyesuaian diidentifikasi
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Mencatat jurnal penyesuaian,akunakun memerlukan penyesuaian diidentifikasi
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Mencatat jurnal penyesuaian,jurnal penyesuaian dicatat sesuai ketentuan.
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Menyajikan laporan keuangan,laporan posisi keuangan akhir periode disajikan sesuai standar berlaku
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Menyajikan laporan keuangan,laporan laba rugi selama periode disajikan sesuai standar berlaku
Teknisi Akuntansi,M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Menyajikan laporan keuangan,catatan atas laporan keuangan disajikan sesuai standar berlaku.
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Menyusun data setup awal dan saldo awal,daftar akun disusun saldo awal akun dientri
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Menyusun data setup awal dan saldo awal,kode pajak disiapkan sesuai ketentuan
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Menyusun data setup awal dan saldo awal,datadata pengelolaan akun laporan keuangan dientri.
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Melakukan entri transaksi,transaksi akan dientri diidentifikasi
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Melakukan entri transaksi,transaksi dientri menggunakan menu tepat
Teknisi Akuntansi,M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Melakukan entri transaksi,penyesuaian data dientri.
Teknisi Akuntansi,M.69PTA00.006.1,Menyusun Laporan Keuangan Entitas Tunggal Keseluruhan Skala Usaha,Menyajikan laporan keuangan,laporan posisi keuangan per tanggal pelaporan disajikan
Teknisi Akuntansi,M.69PTA00.006.1,Menyusun Laporan Keuangan Entitas Tunggal Keseluruhan Skala Usaha,Menyajikan laporan keuangan,laporan penghasilan komprehensif disajikan
